_id,description
66,"Hotel Tugu Blitar, yang belum pernah terjadi sebelumnya, hotel dan restoran terbaik di Blitar, Jawa Timur, bertempat di sebuah bangunan kolonial yang dibangun pada tahun 1850-an, dan sebelumnya dimiliki oleh keluarga Blitar yang terkenal. Setelah Perang Dunia kedua, hotel itu disebut Hotel Centrum Beberapa tahun setelah namanya diubah menjadi Hotel Sri Lestari - dan kemudian menjadi Tugu - Sri Lestari.
Sebagai hotel tertua di Indonesia, bangunan hotel ini tampil sebagai rumah indah orang Jawa Timur dari zaman penjajahan Belanda, dengan pilar berpelindung putih raksasa, perabotan dari akhir abad 19 dan awal abad ke-20, foto-foto nostalgia dan lampu gantung yang elegan. Bangunan itu direnovasi dengan hati-hati sampai setiap detailnya pada awal abad ini, untuk melestarikan karakter artistik, karismatik, dan historisnya namun memadukannya dengan kemewahan modern."
67,"Terletak di kawasan pusat kota Blitar, menyediakan akomodasi yang nyaman bagi pengusaha dan keluarga. GRAND MANSION Hotel adalah tempat yang representative untuk menunjang istirahat serta kegiatan anda seperti seminar, wedding party, birthday party dll, di dukung dengan berbagai fasilitas dan sarana hiburan yang senantiasa akan menemani anda. Temukan fasilitas dan pelayanan utama yang kami kemas dalam berbagai paket.<br />GRAND MANSION Hotel memiliki 90 kamar yang terdiri dari 32 KEMUNING (STANDARD), 25 MAWAR (SUPERIOR), 15 FLAMBOYAN (with garage), 6 BOUGENVILLE (with garage), 10 MELATI DELUXE, 1 MANSION SUITE dan 1 PRESIDENT SUITE.Kami juga menyediakan one stop entertainment yang akan menunjang liburan serta aktifitas lain Anda seperti Family Karaoke, Cafe, Live Music, Electone Permofamance, Resto dengan dengan aneka menu pilihan dengan cita rasa tinggi."
68,"Tarif menginap di Hotel Blitar Indah per malamnya berkisar mulai dari Rp 70 ribu. Beberapa orang yang pernah menginap di Hotel Blitar Indah mengungkapkan jika penginapan low budget satu ini memiliki pelayanan dan kebersihan kamar yang cukup baik, sesuai dengan tarifnya."
69,"Hotel Gita Puri Blitar Hotel Murah Di Blitar. Hotel Gita Puri merupakan salah satu Daftar Hotel Murah Di Blitar. Hotel Ini Berada di Jalan Letjen Suprapto 97-99, Blitar dengan nomor telpon (0342) 812886. Halaman Hotel Gita Puri Blitar ini berisi informasi seputar Hotel Gita Puri Blitar seperti Alamat Hotel, No Tlp, Peta Lokasi Hotel Gita Puri, serta Harga/Tarif Hotel Gita Puri Blitar."
70,"Hotel Ini Berada di Jalan Jaksa Agung Suprapto 49, Blitar dengan nomor telpon (0342) 806324. Halaman Hotel Herlingga Jaya Blitar ini berisi informasi seputar Hotel Herlingga Jaya Blitar seperti Alamat Hotel, No Tlp, Peta Lokasi Hotel Herlingga Jaya, serta Harga/Tarif Hotel Herlingga Jaya Blita"
71,"Hotel Maerokoco BlitarHotel Murah Di Blitar. Hotel Maerokoco merupakan salah satu Daftar Hotel Murah Di Blitar. Hotel Ini Berada di Jalan Dr. Moh. Hatta no. 3 Blitar dengan nomor telpon (0342) 801427. Halaman Hotel Maerokoco Blitar ini berisi informasi seputar Hotel Maerokoco Blitar seperti Alamat Hotel, No Tlp, Peta Lokasi Hotel Maerokoco, serta Harga/Tarif Hotel Maerokoco Blitar."
72,"Hotel Maya BlitarHotel Murah Di Blitar. Hotel Maya merupakan salah satu Daftar Hotel Murah Di Blitar. Hotel Ini Berada di Jalan Dr Sucipto 43 Wlingi, Blitar 66184 dengan nomor telpon (0342) 691461. Halaman Hotel Maya Blitar ini berisi informasi seputar Hotel Maya Blitar seperti Alamat Hotel, No Tlp, Peta Lokasi Hotel Maya, serta Harga/Tarif Hotel Maya Blitar."
73,"Hotel Puri Perdana BlitarHotel Murah Di Blitar. Hotel Puri Perdana merupakan salah satu<a href=https://aengaeng.com/daftar-hotel-murah-di-blitar/>Daftar Hotel Murah Di Blitar. Hotel Ini Berada di Jalan Anjasmoro 78, Blitar dengan nomor telpon (0342) 815674. Halaman Hotel Puri Perdana Blitar ini berisi informasi seputar Hotel Puri Perdana Blitar seperti Alamat Hotel, No Tlp, Peta Lokasi Hotel Puri Perdana, serta Harga/Tarif Hotel Puri Perdana Blitar."
74,"Hotel Santoso I BlitarHotel Murah Di Blitar. Hotel Santoso I merupakan salah satu Daftar Hotel Murah Di Blitar. Hotel Ini Berada di Jalan Menur 1-2, Blitar dengan nomor telpon (0342) 802033. Halaman Hotel Santoso I Blitar ini berisi informasi seputar Hotel Santoso I Blitar seperti Alamat Hotel, No Tlp, Peta Lokasi Hotel Santoso I, serta Harga/Tarif Hotel Santoso I Blitar."
75,"Hotel Sapta Mandala BlitarHotel Murah Di Blitar. Hotel Sapta Mandala merupakan salah satu Daftar Hotel Murah Di Blitar. Hotel Ini Berada di Jalan Slamet Riyadi 31, Blitar dengan nomor telpon (0342) 804593. Halaman Hotel Sapta Mandala Blitar ini berisi informasi seputar Hotel Sapta Mandala Blitar seperti Alamat Hotel, No Tlp, Peta Lokasi Hotel Sapta Mandala, serta Harga/Tarif Hotel Sapta Mandala Blitar."
76,"Hotel Sri Rejeki BlitarHotel Murah Di Blitar. Hotel Sri Rejeki merupakan salah satu Daftar Hotel Murah Di Blitar. Hotel Ini Berada di Jalan TGP 13-15, Blitar dengan nomor telpon (0342) 801770. Halaman Hotel Sri Rejeki Blitar ini berisi informasi seputar Hotel Sri Rejeki Blitar seperti Alamat Hotel, No Tlp, Peta Lokasi Hotel Sri Rejeki, serta Harga/Tarif Hotel Sri Rejeki Blitar."
77,"Hotel Tugu Sri Lestari BlitarHotel Murah Di Blitar. Hotel Tugu Sri Lestari merupakan salah satu Daftar Hotel Murah Di Blitar. Hotel Ini Berada di Jalan Merdeka No 173, Blitar dengan nomor telpon (0342) 801766. Halaman Hotel Tugu Sri Lestari Blitar ini berisi informasi seputar Hotel Tugu Sri Lestari Blitar seperti Alamat Hotel, No Tlp, Peta Lokasi Hotel Tugu Sri Lestari, serta Harga/Tarif Hotel Tugu Sri Lestari Blitar."
78,"Pantai Keben adalah salah satu pantai terindah dari sekian banyak pantai yang dimiliki desa ini. Sayang sekali keindahan Pantai Keben belum bisa secara instan untuk dinikmati. Akses yang sangat sulit merupakan momok utama bagi siapa pun yang ingin menikmati keindahannya. Untuk menuju lokasi pantai Keben. Rute yang harus tempuh adalah Lodoyo, terus ke Selatan melewati hutan jati sampai ke pasar Ngeni."
79,"Terletak di pesisir selatan membuat Blitar memiliki banyak pantai yang bisa dikunjungi. Sampai saat ini, setidaknya ada empat pantai yang sudah resmi ditetapkan sebagai tempat wisata. Keempat pantai tersebut antara lain adalah pantai tambak rejo, pantai serang, pantai pangidan pantai jolosutro. Pada kesempatan ini, mblitar.net ingin berbagi salah satu pantai yang cukup menarik dikunjungi meski belum resmi menjadi tempat wisata. Yaitu pantai pasur."
80,"Pantai Gayasan terletak di Desa Tumpak kepuh, Kecamatan Bakung, Kabupaten Blitar. Pantai Gayasan terletak diantara pantai Tambakrejo dan pantai Pangi. Pantai ini menawarkan pesona pasir putih dan pemandangan alamnya yang indah sehingga cocok untuk dijadikan salah satu tujuan destinasi wisatawan yang ingin menambah agenda plesir untuk mengisi hari libur bersama keluarga. Letak pantai Gayasan tepatnya dibelakang &ldquoalas&rdquo gayasan atau hutan gayasan. Itulah sebabnya mengapa pantai ini dinamakan pantai Gayasan oleh masyarakat setempat karena letaknya yang berada di belakang hutan Gayasan yang sekarang ini oleh masyarakat ditanamani tebu, jadi pantai Gayasan nyaris tidak terlihat, hanya deruan ombaknya yang sesekali terdengar sampai tiga kilometer dari bibir pantai."
81,"Laut di Pantai Pudak masih sangat biru dan jernih, dan pantainya pun masih sepi pengunjung. Pasir berwarna pucat kecokelatan begitu lembut membenamkan kaki, ketika ombak kecil nan sejuk membasahi kulit yang kepanasan.
Dari kejauhan, kamu akan melihat pulau-pulau kecil yang tersebar di tengah lautan luas, serta tebing tebing karang eksotik yang menjadi pagar kekar dan membatasi bibir pantai dengan laut lepas. Semilir angin dan aroma laut yang khas membuat Pantai Pudak sempurna sebagai tempat pelarian untuk menenangkan pikiran sejenak."
82,"Desa Ngadipuro memang terkenal dengan pantainya yang indah, salah satunya adalah Pantai Jebring. Pantai yang terletak di Blitar selatan ini memiliki keunikan sendiri, karena pasir yang ada di kawasan ini berwarna hitam lantaran terdapat bijih besi yang beberapa waktu lalu sempat menjadi tambang biji besi namun kini sudah tidak ada. Dengan adanya tambang yang sesaat ini perlu di syukuri, karena tambang tersebut telah membuatkan jalan sehingga kendaraan roda dua bisa sampai di lokasi dengan lebih mudah. Pantai Jebring yang Berpasir Hitam Pantai yang cukup luas dan berpasir hitam ini, sampai saat ini belum menjadi obyek wisata di Blitar. Oleh karena itu apabila mau ke pantai jebring ini anda harus membawa bekal sendiri, karena tidak ada yang menjual apapun di pantai ini. Jarak dari pemukiman penduduk juga lumayan jauh. Selain itu pastikan kendaraan anda benar-benar dalam kondisi yang baik, jalanan yang dilewati untuk menuju pantai di Blitar selatan ini cukup sulit, karena jalan bebatuan dan sesekali jalan tanah yang akan becek setelah hujan turun akan mempersulit perjalanan anda."
83,"Pantai Banteng Mati terletak tak jauh dari Pantai TambakrejoBlitar. Dari pertigaan Masjid Tambakrejo belok ke kiri mengikuti arah ke Pantai Pasir Putih (Pasetran Gondo Mayit). Selanjutnya dari Pantai Pasir Putih terus saja hingga memasuki Desa Sidorejo. Ya, Pantai Banteng Mati secara administratif masuk dalam wilayah Desa Sidorejo, Kec. Wonotirto, Kab. Blitar."
84,Pantai yang terletak di wilayah pesisir selatan kabupaten Blitar tepatnya di desa Panggungpucung lebih populer dikenal dengan sebutan Pantai bukit indah karena memang pantainya yang berada di atas bukit sedangkan kata indah berasal dari panorama di sekitar pantai yang memang sangat indah. Ada juga yang menyebutnya dengan Pantai Banyu Biru. Salah satu spot yang sangat memukau adalah air terjun yang berada di sebelah pantai. Dengan air yang mengucur dari atas dan terkena sinar matahari membuat air yang turun terlihat berkilauan.
85,pantai ngablak merupakan pantai yang menarik minat para traveller karena pemandangan yang sangat indah
86,"Pantai gemuling memang pilihan yang tepat meski gak sengaja berencana ke pantai ini. Sebelumnya kami merencanakan bakal trip ke banteng mati tapi penduduk sekitar berpesan bahwa jalannya sulit dilalui karena hujan. Ending cerita kami trip di pantai gemuling yang terletak di pesisir barat tambak rejo. Kalo dirunut menurut geografisnya berada diDesa Tambakrejo, Kec. Wonotirto, Blitar Selatan.
Karakter pantai ini byuh bersih men sangat jernih saking bersihnya pantai gondo mayit dan tambak rejo yang berada disebelah timur lewat. Sayangnya bau pantai ini agak amis mungkin karena banyak ikan kali ya. Selain itu banyak karang dan terdapat goa gemuling didekat pantai. Disisi timur pantai pasirnya begitu halus dan dipisah oleh aliran sungai antara dermaga dan pantai gemuling.



"
87,"Tempat wisata kuliner blitar yang selanjutnya akan kita bahas adalah sebuah tempat wisata kuliner yang di namakan Ayam Bakar Bu Mamik oleh pemiliknya. Tempat makan yang satu ini sangat populer di kalangan para pencinta kuliner yang ada di Blitar. Beberapa menu makanan andalan yang bisa anda cicipi di tempat Ayam Bakar Bu Mamik ini seperti misalkan saja Ayam Bakar khas Ayam Bakar Bu Mamik, Sup Buntut dan Gurame Bakar Madu."
88,"Tempat wisata kuliner blitar yang selanjutnya adalah sebuah tempat makan paling enak di Kota Blitar dan tempat ini bernama Warung Mak Ti. Sebuah tempat yang mengusung konsep prasmanan membuat para pengunjungnya tanpa segan memilih makanan sesuai dengan selera di Warung Mak Ti ini. Di tempat wisata kuliner blitar Warung Mak Ti ini anda bisa mengambil sayuran, lauk pauk dan nasi sesuai dengan keinginan anda."
89,Tempat wisata kuliner blitar yang selanjutnya adalah sebuah tempat yang bernama Warung Tewel Mbah Martumi yang tentu saja nama tersebut di ambil dari nama pendirinya. Warung Tewel Mbah Martumi ini sesuai dengan namanya menyajikan sayur tewel dengan cita rasa yang sangat khas dan bisa menggoyang lidah anda. Jika ingin lidah anda merasa kepedasan rasanya sangat cocok apabila anda datang ke Warung Tewel Mbah Martumi ini.
90,"Tempat wisata kuliner blitar yang berikutnya adalah sebuah tempat wisata kuliner bernama Es Mini yang tentu saja sudah sangat populer di Kota Blitar. Banyak sekali jenis varian es yang bisa anda dapatkan di tempat bernama Es Mini. Beberapa es yang ada di antaranya adalah es rumput laut, es kopyor, es aneka jus, es gula asem dan tentu saja masih sangat banyak jenis es yang bisa menyagarkan tenggorokan anda di tempat ini."
91,"Tempat wisata kuliner blitar yang berikutnya akan kita bahas adalah sebuah tempat makan yang bernama Soto Daging Bok Ireng Blitar. Tempat yang satu ini ternyata banyak yang memfavoritkan, hal ini di karenakan tempat Soto Daging Bok Ireng Blitar ini menyajikan soto dengan menu yang sangat spesial. Di buka mulai jam 8 pagi, tempat bernama Soto Daging Bok Ireng Blitar ini di tutup hingga jam 2 siang."
92,Tempat wisata kuliner blitar yang berikutnya adalah sebuah tempat wisata kuliner yang bernama Warung Pecel Mbok Bari 6. Tempat makan yang satu ini menyajikan menu pecel nikmat yang tentu sudah banyak orang yang mengakuinya. Ternyata Warung Pecel Mbok Bari 6 ini tidak hanya orang blitar saja yang menikmati sajian pecel di Warung Pecel Mbok Bari 6 akan tetapi banyak wisatawan asing yang menikmati pecel di tempat ini.
93,"Tempat wisata kuliner blitar yang selanjutnya akan kita bahas adalah sebuah tempat wisata kuliner yang bernama Ikan Uceng di Warung Barokah Pak Sabar. Tempat yang satu ini banyak menyajikan menu makanan seperti misalkan saja Ayam Penyet, Kare Ayam, Sayur Uceng, Lele, Ayam Panggang, Lele Penyet, Nasi Campur dan masih banyak lagi jenis makanan yang di sajikan di Ikan Uceng di Warung Barokah Pak Sabar ini."
94,"Tempat wisata kuliner blitar yang berikutnya adalah sebuah tempat wisata kuliner yang di namakan Lesehan President Resto. Tempat wisata kuliner yang satu ini menyajikan berbagai masakan lezat seperti misalkan saja Ayam Masak Pedas, Ayam Rica-Rica, Ayam Mentega, Gurame Bakar, Ayam Asam Manis, Mie Goreng, Cap Cay Kuah dan beberapa menu sajian enak yang bisa menggoyang lidah anda bersama dengan keluarga."
95,"Menu baru yang kekinian! Yuk ajakin keluarga, teman2, makan disini, asiknya ramerame. pass pedas kuliner merupakan tempat yang biasa digunakan untuk nongkrong bersama-sama , dengan porsi makanan yang cukup besar."
96,"Griya Kuliner bisa menjadi referensi utama bagi anda para pecinta kuliner internasional yang tengah berkunjung ke Kota Blitar.
Terletak di deretan ruko Jln. Wahidin yang berada di lokasi strategis di pusat Kota Blitar, Restoran yang mengusung konsep &lsquoThai and Chinese Food&rsquo modern ini layak dijadikan tujuan wisata kuliner dengan sensasi asam manis dan pedas ala Thailand dipadukan dengan menu Chinese Food modifikasi."
97,"Ketika mendengar kata sate, tentu dalam benak kita yang terlintas adalah makanan dari daging ayam atau kambing yang penyajiannya dengan cara ditusuk dan dibakar. Selain itu, banyak pula yang memikirkan kadar kolesterol tinggi untuk sate kambing."
98,Kaos Blitar merupakan tempat penjualan grosiran kaos khas blitar
99,"Pergi liburn merupakan salah satu hiburan yang sangat patut untuk di lakukan agar bisa membuat diri anda bisa segar dan mood pun bisa kembali baik. Untuk melakukan liburan sebelum berangkat pasti ada saudara taupun kerabat kita yang ingin di belikan oleh-oleh khas daerah atau tempat yang akan anda kunjungi. oleh-oleh tersebut tentunya suatu hal yang unik dan merupakan ciri khas daerah yang akan anda kunjungi.
Jika ingin mencoba suatu hal yang unik dan sudah menjadi ciri khas daerah yang akan di jadikan oleh-oleh, di Indonesia sendri memiliki banyak sekali daerah-derah yang memiliki keunikan dan ciri khas dari daerah tersebut. salah satu daerah yang memiliki keunikan dan ciri khas mulai dari makanan, souvenir dan juga kerajinan tangan yang unik dan patut untuk di jadikan oleh-oleh yaitu di Blitar provinsi Jawa Timur."
100,"Blitar adalah kota proklamasi, karena di sanalah Bapak Proklamator Republik Indonesia dilahirkan dan bersemayam. Sebagai identitas Indonesia yang memiliki banyak aneka ragam kekayaan bangsa, Blitar menyimpan banyak akan kekayaan wisata kulinernya."
101,"cakron souvenir merupakan tempat menjual barang seperti dakrondengan kualitas terbaik, serta membuat seperti gantungan , bantal, dll"
102,"ada tempat namanya pusat oleh-oleh khas blitar. AMANAH yang menjual sagon, opak gambir,koyah kacang ijo, sambel pecel, peyel wajik kletik ,dll"
103,batik khas blitar terletak di sananwetan kota blitar
104,"secara kualitas dan mutu, kain batikyang dihasilkan oleh masyarakat Blitar secara keseluruhan tidak kalah bagus dengan batik tulis dari daerah lain. Batik Blitar sendiri umumnya memiliki kekhasan corak tersendiri yang berbeda satu-sama lain, baik dari segi motif, ragam hias, dan juga warnanya yang disesuaikan dengansumber daya alam dan lingkungan yang ada di daerah tersebut."
105,"Resep Es Pleret Khas Kota Blitar Paling Segar&ndash Es Pleret adalah sebuah minuman dingin yang sangat menyegarkan ketika anda sedang dalam suasana panas, atau saat lelah. Minuman ini pasti sudah tau asalnya, karena memang minuman ini sangat terkenal sekali dibeberapa daerah yang memang sangat dekat dengan kota blitar ini. Pembuatan es blitar ini sebenarnya karena banyak sekali permintaan orang untuk menyajikan resep minuman yang sangat dan paling segar, oleh karena itu dibuatlah resep es pleret yang sangat segar dan nikmat"
106,"Nasionalism adalah pusat oleh oleh khas blita. Galeri yang menyediakan kaos kahs blitar, jajanan dan kerajinan asli kota proklamator"
107,"Wisata Lengkeh Gunung Pegat secara administratif masuk dalam wilayah Desa Kawedusan, Kec. Ponggok, Kab. Blitar. Obyek wisata ini dikenal pula sebagai tandem paralayang karena sering digunakan para pecinta olahraga paralayang Blitar untuk lepas landas. Pintu masuk wisata Gunung Pegat ini berada pada lembah diantara Gunung Pegat timur dan Gunung Pegat barat yang lazim disebut Lengkeh oleh warga setempat. Dahulu kawasan Lengkeh ini kental dengan mitos bahwa pasangan suami istri baru yang melintasinya akan bercerai atau dalam bahasa jawa disebut pegatan"
108,"Bukit bunda adalah salah satu tempat baru yang potensial untuk di kunjungi oleh para wisatawan. tempat ini mempunyai pemandangan khas bukit kapur Blitar selatan, selain itu tempat ini mempunyai beberapa area yang bisa di gunakan wisatawan untuk berkegiatan outbond, bersantai bersama keluarga, dan menjelah perbukitan menggunakan mobil 4x4 yg di sediakan."
109,"Bukit Bonsai Watu Lawang dikenal dengan banyak nama, ada yang menyebutnya Tumpakwaru dan ada pula yang menyebutnya Bukit Suharto. Penyebutannya sebagai Bukit Suharo tak lepas dari peristiwa bersejarah, yakni peresmian Moumen KNPI oleh Presiden Suharto pada tahun 1989. Pada bukit ini pernah dibangun bangunan-bangunan megah untuk Presiden Suharto. Setelah bergulirnya waktu bukit ini sempat terbengkalai.Bukit Suharto kembali bergeliat dengan nama barunya Bukit Bonsai Watu Lawang. Bukit yang mulanya gersang, kini dikembangkan menjadi salah satu destinasi wisata. Sejumlah photo booth unik kini menghiasi sudut-sudut bukit. Mulai dari yang berbentuk perahu hingga bulan sabit, dan masih banyak bentuk-bentuk unik lainnya. Sejumlah fasilitas pendukung seperti kantin dan toilet juga tampak melengkapi kawasan ini. Bukit Watu Lawang diresmikan pada 3 Desember 2017. Bukit ini terletak di Desa Sumberjati, Kademangan, Kab. Blitar. Bukit ini terletak tak sebegitu jauh dari<a href=https://travellersblitar.com/candi-simping-blitar/>Candi Simping. Rute menuju Watu Lawang adalah sebagai berikut: Blitar &ndash Kademangan &ndash Ikuti arah<a href=https://travellersblitar.com/pantai-tambakrejo-blitar-bukan-sekedar-panorama-alam/>Pantai Tambakrejo&ndash Sampai pertigaan SPBU Sumberjati belok kiri &ndash pertigaan di timur Candi Simping belok kanan &ndash ikuti jalanan menanjak, Watu Lawang terletak di kiri jalan"
110,"Gardu Pandang Sumberasri terletak di atas sebuah bukit di sekitar Perkebunan Gambar, tepatnya di sisi barat Gunung Kelud. Gardu Pandang ini secara administratif berada di dalam wilayah Desa Sumberasri, Kec. Nglegok, Kab. Blitar. Berjarak sekitar 21 km dari Kota Blitar. Rute menuju Gardu Padang Sumberasri sebagai berikut: Blitar Nglegok  Kawasan Wisata Candi Penataran&ndash Desa Kedawung &ndash Desa Sumberasri &ndash Tugu Garuda di pertigaan Sumberasri belok ke kanan Ikuti jalan sampai dengan lokasi gardu pandang. Rute ini lebih aman namun sedikit memutar dengan kondisi jalan yang ramai dengan lalu-lalang truk pasir. Ada rute yang lebih pendek namun sedikit berbahaya dan tidak direkomendasikan untuk dilalui saat cuaca buruk. Rute pendek tersebut adalah sebagai berikut: Blitar &ndash Nglegok Pertigaan sebelum Kawasan Wisata Candi Penataran belok ke kanan &ndash Dam Kali Bladak &ndash Perkebunan Gambar &ndash Gardu Pandang. Dam Bladak adalah zona berbahaya dan tidak direkomendasikan untuk dilewati saat cuaca buruk karena rawan terdampak lahar dingin Gunung Kelud"
111,"Wisata Hutan Pinus Lereng Gogoniti atau lazimnya disebut Wisata Gogoniti secara administratif terletak di Gunung Gogoniti, Desa Kemirigede, Kec. Kesamben, Kab. Blitar. Sesuai dengan namanya, obyek wisata ini menyajikan suasanahutan pinus yang menyejukkan. Selain keasrian alamnya, Wisata Gogoniti juga memiliki sejumlah spot menarik seperti gapura selamat datang yang iconic, sejumlah hammock dan tempat duduk yang tersebar di antara pohon-pohonpinus, rumah pohon, dan sejumlah kedai makanan.Benar-benar tempat ngadem yang recommended"
112,"KALOKA singkatan dari KERATON Alas Lodoyo Kaulon. Sebelum dikembangkan sebagai wana wisata, kawasan Kaulon ini memang telah dikenal olehpara travelers karena merupakan jalur alternatif menuju Pantai Jolosutro. Pemandangan di hutan ini cukup indah, pepohonannya tampak berjajar apik memayungi ruas jalan bak terowongan alam. Kini di Kaulon telah dikembangkan wisata KALOKA yang mengambil tempat di pinggiran hulu Bendungan Wlingi Raya. Rute menuju wisata KALOKA adalah sebagai berikut: Kota Blitar &ndash Pendopo Kanigoro &ndash Perempatan Kanigoro ke kanan (Selatan) &ndash Pertigaan setelah Jembatan Kali Brantas ke kiri (Timur) &ndash Ikuti jalan hingga masuk kawasan hutan Kaulon &ndash Wisata KALOKA terletak di kiri jalan"
113,"Puncak Kejora merupakan wana wisata berupa view deck. Letaknya tak jauh dari Wisata Agro Sirah Kencong. Bahkan view deck Bintang yang merupakan spot andalan dari wana wisata ini bisa dilihat dengan jelas dari jalanan menuju Sirah Kencong. Di kawasan Puncak Kejora ini terdapa tiga view deck yang telah dan akan dikembangkan, di antaranya adalah view deck bintang, view deck Gunung Buthak, dan view deck Gunung Kelud(dalam pengembangan). Masing-masing view deck menyuguhkan pemandangan yang berbeda. View deck Buthak dan Kelud masing-masing menghadap ke Puncak Buthak dan Kelud, sedangkan view deck bintang menghadap ke arah dataran rendah. Di antara view deck yang ada, view deck Bintang memiliki landscape pemandangan yang paling luas. Dari sini para traveler sekalian dapat melihat deretan gunung-gunung di selatan Pegunungan Kawi. Berturut-turut ada Gunung Gogoniti, Gunung Bathok, Gunung Kajang (Pagergunung) hingga Gunung Kidul yang menjadi batas pulau jawa dengan mahasamudera."
114,"Wisata Alam Paco merupakan sebuah destinasi wisata berupa telaga alami yang terletak di antara rerimbunan pohon karet bolu raksasa. Kawasan ini awalnya merupakan tempat tampungan air irigasi, namun karena memiliki suasana dan panorama yang menjanjikan. Wisata Alam Paco secara administratif terletak di Desa Panataran, Kec. Nglegok, Kab. Blitar. Lokasi obyek wisata ini cukup strategis karena berada di antara Kawasan Wisata Candi Penataran dan Candi Gambar Wetan. Selain itu, lokasi obyek ini juga berada di pinggir jalur alternatif Blitar &ndash Obyek Wisata Gunung Kelud Kediri. Secara umum rute menuju Wisata Alam Paco adalah: Blitar  Nglegok pertigaan sebelum pintu masuk Kawasan Wisata Penataran belok ke kanan (ke arah Perkebunan Candi Sewu) &ndash Wisata Alam Paco terletak di kiri jalan"
115,"negeri dongeng merupakan wahana wisata yang berisikan miniatur landmark terkenal dari berbagai negara, seperti menara eifel, patung liberty, candi borobudur dll"
116,"Kampung yang terletak di Semen, Gandusari, Blitar, Jawa Timurini memang memiliki keindahan yang luar biasa. Bagi kamu yang ingin berlibur bersama keluarga namun masih bingung ingin pergi ke tempat wisata seperti apa, coba deh berkunjung ke kampung wisata yang satu ini. Dan tempat wisata ini cocok banget untuk berkumpulnya keluarga.kampung Wisata Ekologis Puspa Jagad ini memang memiliki keindahan yang sangat luar biasa dan memiliki fasilitas yang cukup lengkap, disini kamu bisa berkumpul ria bersama keluarga dan juga bisa mencoba segala wahana yang ada di dalam Kampung Wisata Ekologis Puspa Jagad ini, bagi kamu yang penasaran, langsung aja deh pergi kesana"
117,"Kampung Melon atau Kampoeng Melon merupakan salah satu desa wisata berbasis agro dengan komoditi melon sebagai daya tarik andalannya. Kawasan wisata ini secara administratif masuk dalam wilayah Dusun Karaganyar, Desa Modangan, Kec. Nglegok, Kab. Blitar. Posisinya cukup strategis karena cukup dekat dengan Kawasan Wisata Candi Penatarandan sejalur dengan Perkebunan Kopi Karanganyar. Berikut rute menuju Kampung Melon: Kota Blitar Nglegok &ndash Pertigaan Pasar Penataran belok kanan &ndash Perempatan Kantor Desa Modangan belok kiri &ndash Ikuti jalan hingga masuk kawasan Wisata Kampung Melon."
118,"Kedung Golek merupakan sebuah jurug atau air terjun yang terletak di Desa Panggungrejo, Kec. Panggungrejo Kab. Blitar. Setelah dikembangkan jurug ini diberi nama Air Terjun Bidadari.
Rute untuk menuju ke lokasi air terjun cukup mudah. Dari Blitar arahkan perjalanan ke Sutojayan &ndash arah Pantai Serang &ndash Desa Panggungrejo &ndash Tugu Pancasila Panggungrejo lurus saja ( jika belok kiri arah ke Pantai Serang dan pehpulo) sampai ada SD 7 Panggungrejo kiri jalan &ndash belok kanan ikuti jalan tanah dan rabat beton sampai jalan menurun agak tajam"
119,"Perkebunan Kopi Karanganyar secara administratif terletak di Dusun Karanganyar, Desa Modangan, Nglegok, Kab. Blitar. Letak perkebunan ini cukup strategis karena berada tak jauh dari<a href=https://travellersblitar.com/candi-penataran-blitar-menapaki-kemegahan-adhiluhung-leluhur-nusantara/>Kawasan Wisata Penatarandan sejalur dengan beberapa destinasi wisata Blitar utara lainnya. Untuk menuju Perkebunan Karanganya berikut rute yang bisa digunakan: Pertigaan Pasar Penataran ambil kanan ke arah Desa Modangan &ndash Sesampai perempatan Kantor Desa Modangan ambil kiri searah dengan petunjuk arah menuju<a href=https://travellersblitar.com/arca-warak-tanda-sejarah-dari-desa-modangan-blitar/>Arca Warakdan Kampoeng Melon &ndash Ikuti jalan yang tersedia hingga tiba di kawasan Perkebunan Karanganyar"
120,"omah jenang merupakan wisata edukasi ngudek jenang/mengaduk jenang blitar.Selain menyediakan Jenang, Madumongso, Wajik Klethik, Wajik Ketan di outlet kami juga menyediakan berbagai macam jajanan khas lainnya,antara lain  Geti, Sambel pecel, sagon, aneka kripik buah,kue roti,opak ladu,rengginang, carang mas, manco, kripik tempe"
121,"Obyek wisata ini dikenal memiliki keindahan alam yang tiada duanya, dikenal menyimpan peninggalan benda cagar budaya yang adiluhung, dan dikenal pula memiliki medan yang menantang. Inilah Wisata Agro Sirah Kencong. Terletak pada ketinggian 1000 m dpl, secara administratif masuk dalam wilayah Desa Ngadirenggo, Kec. Wlingi, Kab. Blitar, berada dalam pengelolaan PT. Perkebunan Nusantara XII."
122,"Kawasan wisata aryo kusumo adalah gabungan dari berbagai konsep wisata yang ada mulai dari kuliner, wisata kebun (Belimbing, Jambu Biji Merah dan Markisa), wisata produksi pengolahan berbagai macam makanan dan minuman organik, serta berbagai macam kerajinan tangan.Tidak hanya itu saja wisata Aryo Kusumo ini berbasis masyarakat dengan mengembangkan kearifan lokal di mana wisatawan tidak terbatas di pusat pengembangan wisata agro, namun bisa menikmati langsung di kebun milik masyarakat sekitar."
